authorFirst,authorLast,bookTitle,pubYear,pageCount,bookType,bookAudience,language,primaryGenre,charGender,authorCount,pseudonym,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,ratingGR,countLT,ratingLT
Michael,Crichton,Odds On,1966,288,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/18078737-odds-on,http://www.librarything.com/work/1760628/book/112341755,1942,Male,23,White,American,658,3.4,78,3.21
Michael,Crichton,A Case of Need,1968,434,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/7663.A_Case_of_Need,http://www.librarything.com/work/57176/book/11269697,1942,Male,25,White,American,29581,3.71,2610,3.3
Michael,Crichton,The Andromeda Strain,1969,306,Novel,Adult,English,Sci-fi,Male,Primary,N,https://www.goodreads.com/book/show/7670.The_Andromeda_Strain,http://www.librarything.com/work/12393/book/11269636,1942,Male,26,White,American,205841,3.89,7889,3.66
Michael,Crichton,Five Patients,1970,272,Thematic non-fiction,Adult,English,Popular science,Male,Primary,N,https://www.goodreads.com/book/show/7681.Five_Patients,http://www.librarything.com/work/68946/book/12501757,1942,Male,27,White,American,5004,3.48,781,2.9299999999999997
Michael,Crichton,Grave Descend,1970,203,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/652837.Grave_Descend,http://www.librarything.com/work/1460476/book/31877676,1942,Male,27,White,American,2180,3.68,227,3.56
Michael,Crichton,Easy Go,1968,288,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/18310315-easy-go,http://www.librarything.com/work/2221158/book/31877743,1942,Male,25,White,American,1303,3.65,122,3.3499999999999996
Michael,Crichton,Drug of Choice,1970,224,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/18310318-drug-of-choice,http://www.librarything.com/work/1891251/book/112341733,1942,Male,27,White,American,1108,3.5,87,3.25
Michael,Crichton,The Great Train Robbery,1975,386,Novel,Adult,English,Mystery,Male,Primary,N,https://www.goodreads.com/book/show/7682.The_Great_Train_Robbery,http://www.librarything.com/work/4809/book/11269691,1942,Male,32,White,American,24150,3.85,2942,3.75
Michael,Crichton,Scratch One,1967,272,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/18310314-scratch-one,http://www.librarything.com/work/1491410/book/112341756,1942,Male,24,White,American,455,3.32,83,3.46
Michael,Crichton,Binary,1972,213,Novel,Adult,English,Sci-fi,Male,Primary,Y,https://www.goodreads.com/book/show/18310320-binary,http://www.librarything.com/work/291703/book/55330464,1942,Male,29,White,American,2671,3.52,351,3.2800000000000002
Michael,Crichton,The Terminal Man,1972,290,Novel,Adult,English,Sci-fi,Male,Primary,N,https://www.goodreads.com/book/show/7679.The_Terminal_Man,http://www.librarything.com/work/60688/book/11269682,1942,Male,29,White,American,23174,3.36,2963,3.22
Michael,Crichton,Travels,1988,404,Narrative non-fiction,Adult,English,Memoir,Male,Primary,N,https://www.goodreads.com/book/show/7665.Travels,http://www.librarything.com/work/57295/book/24409353,1942,Male,45,White,American,7708,3.95,1127,3.67
Michael,Crichton,The Venom Business,1969,400,Novel,Adult,English,Mystery,Male,Primary,Y,https://www.goodreads.com/book/show/18310317-the-venom-business,http://www.librarything.com/work/5323962/book/112341769,1942,Male,26,White,American,425,3.44,74,3.46
Michael,Crichton,Congo,1980,386,Novel,Adult,English,Sci-fi,Male,Primary,N,https://www.goodreads.com/book/show/7672.Congo,http://www.librarything.com/work/11616/book/11269647,1942,Male,37,White,American,148943,3.59,6537,3.2600000000000002
Michael,Crichton,Sphere,1987,543,Novel,Adult,English,Sci-fi,Male,Primary,N,https://www.goodreads.com/book/show/455373.Sphere,http://www.librarything.com/work/17543/book/11269625,1942,Male,44,White,American,154485,3.79,7901,3.56
Michael,Crichton,The Lost World,1995,448,Novel,Adult,English,Sci-fi,Male,Primary,N,https://www.goodreads.com/book/show/8650.The_Lost_World,http://www.librarything.com/work/12409/book/11269610,1942,Male,52,White,American,111790,3.77,8086,3.5
Michael,Crichton,Airframe,1996,448,Novel,Adult,English,Mystery,Female,Primary,N,https://www.goodreads.com/book/show/7667.Airframe,http://www.librarything.com/work/2319/book/11269659,1942,Male,53,White,American,73102,3.7,5967,3.3699999999999997
Michael,Crichton,Timeline,1999,512,Novel,Adult,English,Sci-fi,Male,Primary,N,https://www.goodreads.com/book/show/7669.Timeline,http://www.librarything.com/work/8362/book/11269606,1942,Male,56,White,American,178169,3.85,10998,3.54
