authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR.x,linkLT.x,authorDOB,authorGender,authorAge,authorRace,authorNationality,linkGR.y,linkLT.y,countGR,ratingGR,countLT,ratingLT
Agee,James,A Death in the Family,1957,320,1958,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,http://www.librarything.com/work/61274/book/87208331,1909,Male,47,White,American,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,http://www.librarything.com/work/61274/book/87208331,13624,3.91,2490,3.9099999999999997
Anders,Charlie Jane,All the Birds in the Sky,2016,320,2017,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/25372801-all-the-birds-in-the-sky,http://www.librarything.com/work/16083994/book/126388330,1972,Female,43,White,American,https://www.goodreads.com/book/show/25372801-all-the-birds-in-the-sky,http://www.librarything.com/work/16083994/book/126388330,34569,3.58,1747,3.61
Arnason,Eleanor,A Woman of the Iron People,1991,525,1991,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/396647.A_Woman_of_the_Iron_People,http://www.librarything.com/work/722198/book/141762808,1942,Female,48,White,American,https://www.goodreads.com/book/show/396647.A_Woman_of_the_Iron_People,http://www.librarything.com/work/722198/book/141762808,482,3.83,203,3.86
Asaro,Catherine,The Quantum Rose,2001,400,2002,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/598099.The_Quantum_Rose,http://www.librarything.com/work/24984/book/155884082,1955,Female,45,White,American,https://www.goodreads.com/book/show/598099.The_Quantum_Rose,http://www.librarything.com/work/24984/book/155884082,1895,3.58,473,3.4
Asimov,Isaac,The Gods Themselves,1972,304,1973,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,1920,Male,51,White,Russian,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,49895,4.09,4556,3.8499999999999996
Asimov,Isaac,The Gods Themselves,1972,304,1973,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,1920,Male,51,White,Russian,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,49895,4.09,4556,3.8499999999999996
Asimov,Isaac,Foundation's Edge,1982,480,1983,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/76683.Foundation_s_Edge,http://www.librarything.com/work/17640,1920,Male,61,White,Russian,https://www.goodreads.com/book/show/76683.Foundation_s_Edge,http://www.librarything.com/work/17640,64787,4.12,7862,3.8
Bacigalupi,Paolo,The Windup Girl,2009,480,2010,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,1972,Male,36,White,American,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,61426,3.75,4902,3.7600000000000002
Bacigalupi,Paolo,The Windup Girl,2009,480,2010,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,1972,Male,36,White,American,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,61426,3.75,4902,3.7600000000000002
Barnes,Margaret Ayer,Years of Grace,1930,581,1931,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/1457221.Years_of_Grace,http://www.librarything.com/work/533182/book/175319895,1886,Female,43,White,American,https://www.goodreads.com/book/show/1457221.Years_of_Grace,http://www.librarything.com/work/533182/book/175319895,904,3.71,126,3.79
Bear,Greg,Darwin's Radio,1999,544,2001,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/64923.Darwin_s_Radio,http://www.librarything.com/work/12974/book/140983591,1951,Male,47,White,American,https://www.goodreads.com/book/show/64923.Darwin_s_Radio,http://www.librarything.com/work/12974/book/140983591,12863,3.7,3094,3.53
Bellow,Saul,Humboldt's Gift,1975,487,1976,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11494.Humboldt_s_Gift,http://www.librarything.com/work/10094/book/175320049,1915,Male,59,White,Canadian,https://www.goodreads.com/book/show/11494.Humboldt_s_Gift,http://www.librarything.com/work/10094/book/175320049,7983,3.86,2431,3.8299999999999996
Benford,Gregory,Timescape,1980,499,1981,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/778990.Timescape,http://www.librarything.com/work/21386/book/142399933,1941,Male,38,White,American,https://www.goodreads.com/book/show/778990.Timescape,http://www.librarything.com/work/21386/book/142399933,10066,3.74,1767,3.56
Bergin,Virginia,Who Runs the World?,2017,352,2017,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Sci-fi,Female,Primary,https://www.goodreads.com/en/book/show/33891082,http://www.librarything.com/work/19904919/book/156677421,1966,Female,50,White,English,https://www.goodreads.com/en/book/show/33891082,http://www.librarything.com/work/19904919/book/156677421,1241,2.96,69,3.21
Bester,Alfred,The Demolished Man,1953,183,1953,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/76740.The_Demolished_Man,http://www.librarything.com/work/4079879,1913,Male,39,White,American,https://www.goodreads.com/book/show/76740.The_Demolished_Man,http://www.librarything.com/work/4079879,26644,3.99,3834,3.94
Bishop,Michael,No Enemy But Time,1982,397,1983,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/637400.No_Enemy_But_Time,http://www.librarything.com/work/90728/book/157165011,1945,Male,36,White,American,https://www.goodreads.com/book/show/637400.No_Enemy_But_Time,http://www.librarything.com/work/90728/book/157165011,1266,3.49,493,3.4899999999999998
Blish,James,A Case of Conscience,1958,184,1959,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/123673.A_Case_of_Conscience,http://www.librarything.com/work/20493,1921,Male,36,White,American,https://www.goodreads.com/book/show/123673.A_Case_of_Conscience,http://www.librarything.com/work/20493,5244,3.65,1463,3.3299999999999996
