authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Agee,James,A Death in the Family,1957,320,1958,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,http://www.librarything.com/work/61274/book/87208331,1909,Male,47,White,American,13441,2455,3.9099999999999997,3.91
Anders,Charlie Jane,All the Birds in the Sky,2016,320,2017,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/25372801-all-the-birds-in-the-sky,http://www.librarything.com/work/16083994/book/126388330,1972,Female,43,White,American,33232,1658,3.61,3.58
Arnason,Eleanor,A Woman of the Iron People,1991,525,1991,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/396647.A_Woman_of_the_Iron_People,http://www.librarything.com/work/722198/book/141762808,1942,Female,48,White,American,468,199,3.96,3.82
Asaro,Catherine,The Quantum Rose,2001,400,2002,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/598099.The_Quantum_Rose,http://www.librarything.com/work/24984/book/155884082,1955,Female,45,White,American,1880,462,3.4,3.57
Asimov,Isaac,The Gods Themselves,1972,304,1973,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,1920,Male,51,White,Russian,48854,4487,3.8499999999999996,4.09
Asimov,Isaac,The Gods Themselves,1972,304,1973,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/41821.The_Gods_Themselves,http://www.librarything.com/work/3410,1920,Male,51,White,Russian,48854,4487,3.8499999999999996,4.09
Asimov,Isaac,Foundation's Edge,1982,480,1983,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/76683.Foundation_s_Edge,http://www.librarything.com/work/17640,1920,Male,61,White,Russian,63287,7748,3.79,4.12
Bacigalupi,Paolo,The Windup Girl,2009,480,2010,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,1972,Male,36,White,American,60285,4779,3.7600000000000002,3.75
Bacigalupi,Paolo,The Windup Girl,2009,480,2010,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6597651-the-windup-girl,http://www.librarything.com/work/8585029,1972,Male,36,White,American,60285,4779,3.7600000000000002,3.75
Barnes,Margaret Ayer,Years of Grace,1930,581,1931,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/1457221.Years_of_Grace,http://www.librarything.com/work/533182/book/175319895,1886,Female,43,White,American,892,125,3.79,3.7
Bear,Greg,Darwin's Radio,1999,544,2001,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/64923.Darwin_s_Radio,http://www.librarything.com/work/12974/book/140983591,1951,Male,47,White,American,12673,3066,3.52,3.7
Bellow,Saul,Humboldt's Gift,1975,487,1976,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11494.Humboldt_s_Gift,http://www.librarything.com/work/10094/book/175320049,1915,Male,59,White,Canadian,7831,2420,3.82,3.86
Benford,Gregory,Timescape,1980,499,1981,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/778990.Timescape,http://www.librarything.com/work/21386/book/142399933,1941,Male,38,White,American,9982,1745,3.56,3.74
Bergin,Virginia,Who Runs the World?,2017,352,2017,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Sci-fi,Female,Primary,https://www.goodreads.com/en/book/show/33891082,http://www.librarything.com/work/19904919/book/156677421,1966,Female,50,White,English,1128,65,3.25,2.95
Bester,Alfred,The Demolished Man,1953,183,1953,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/76740.The_Demolished_Man,http://www.librarything.com/work/4079879,1913,Male,39,White,American,26278,3806,3.94,3.99
Bishop,Michael,No Enemy But Time,1982,397,1983,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/637400.No_Enemy_But_Time,http://www.librarything.com/work/90728/book/157165011,1945,Male,36,White,American,1259,489,3.4699999999999998,3.49
Blish,James,A Case of Conscience,1958,184,1959,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/123673.A_Case_of_Conscience,http://www.librarything.com/work/20493,1921,Male,36,White,American,5154,1443,3.32,3.65
Brin,David,The Uplift War,1987,672,1988,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/234489.The_Uplift_War,http://www.librarything.com/work/19167,1950,Male,36,White,American,23257,2742,3.9499999999999997,4.07
Brin,David,Startide Rising,1983,480,1984,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/234501.Startide_Rising,http://www.librarything.com/work/18983,1950,Male,32,White,American,27923,3517,4,4.04
Brin,David,Startide Rising,1983,480,1984,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/234501.Startide_Rising,http://www.librarything.com/work/18983,1950,Male,32,White,American,27923,3517,4,4.04
Bromfield,Louis,Early Autumn: A Story of a Lady,1926,303,1927,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/221327.Early_Autumn,http://www.librarything.com/work/985399/book/175319883,1896,Male,29,White,American,1055,180,3.46,3.61
Brooks,Geraldine,March,2005,280,2006,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/13529.March,http://www.librarything.com/work/106961/book/157950936,1955,Female,49,White,Australian,51456,5781,3.7600000000000002,3.75
