authorLast,authorFirst,bookTitle,pubYear,pageCount,listName,listRank,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,ratingGR,countLT,ratingLT
Acker,Kathy,In Memoriam to Identity,1990,272,American Book Review,99,Novel,Adult,English,Experimental,Mixed,Primary,https://www.goodreads.com/book/show/146899.In_Memoriam_to_Identity,http://www.librarything.com/work/120165/book/64213623,1947,Female,42,White,American,370,3.85,246,3.57
Adams,Douglas,The Hitchhiker's Guide to the Galaxy,1979,208,Modern Library Readers,52,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,http://www.librarything.com/work/2492277/book/11270874,1952,Male,26,White,English,1279220,4.22,30470,4.21
Adams,Richard,Watership Down,1972,458,Modern Library Readers,79,Novel,YA,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/76620.Watership_Down,http://www.librarything.com/work/1537/book/11270703,1920,Male,51,White,English,403313,4.05,19518,4.22
Anderson,Sherwood,"Winesburg, Ohio",1919,230,Modern Library Board,24,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/80176.Winesburg_Ohio,http://www.librarything.com/work/3431/book/52373306,1876,Male,42,White,American,28561,3.84,4826,3.8
Anderson,Sherwood,"Winesburg, Ohio",1919,230,American Book Review,87,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/80176.Winesburg_Ohio,http://www.librarything.com/work/3431/book/52373306,1876,Male,42,White,American,28561,3.84,4826,3.8
Atwood,Margaret,The Handmaid's Tale,1985,325,Modern Library Readers,53,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,http://www.librarything.com/work/1667444/book/11693160,1939,Female,45,White,Canadian,1228624,4.1,30775,4.109999999999999
Auster,Paul,City of Glass,1985,208,American Book Review,69,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/432.City_of_Glass,http://www.librarything.com/work/6517674/book/93109062,1947,Male,37,White,American,13809,3.79,1183,3.72
Auster,Paul,Ghosts,1986,96,American Book Review,69,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/434.Ghosts,http://www.librarything.com/work/1907966/book/93109077,1947,Male,38,White,American,4300,3.64,381,3.59
Auster,Paul,The Locked Room,1986,192,American Book Review,69,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/435.The_Locked_Room,http://www.librarything.com/work/2997/book/93109093,1947,Male,38,White,American,3614,3.89,333,3.71
Bach,Richard,Illusions,1977,144,Modern Library Readers,98,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/29946.Illusions,http://www.librarything.com/work/35123/book/157045890,1936,Male,40,White,American,54077,4.15,3915,3.9299999999999997
